Area,Lengths,Widths,Ratios
7717,341,30.0,11.366666666666667
6441,307,26.0,11.807692307692308
7371,342,30.0,11.4
7161,316,39.395431207184416,8.02123470455559
8939,393,32.984845004941285,11.914562579909857
7202,326,43.174066289845804,7.550829190176896
6812,329,32.802438933713454,10.029742015977439
7501,370,31.11269837220809,11.892250410864664
8841,353,32.0,11.03125
7498,367,32.55764119219941,11.272315393903005
6458,369,26.68332812825267,13.828859661973643
6950,322,48.041648597857254,6.702517698661194
